protected_term,preferred_form,disallowed_or_review_form,usage_rule
researchmap,researchmap,ResearchMap; research map,Lowercase except official titles or sentence start
KAKEN,KAKEN,Kaken; kaken,Database/system label
Grants-in-Aid for Scientific Research,Grants-in-Aid for Scientific Research,grant-in-aid,Define KAKEN on first use
Associate Professor,Associate Professor,associate professor; associate-professor,Use AP only after definition
Full Professor,Full Professor,full professor; full-professor,Use FP only after definition
AP,AP,A.P.; ap,Abbreviation after first definition
FP,FP,F.P.; fp,Abbreviation after first definition
PI,PI,P.I.; principal-investigator,Project-year role
Co-I,Co-I,CO-I; CoI; coi,Project-year role; define once
KAKEN access,KAKEN access,funding access when participation only,Observed participation measure
KAKEN project category,KAKEN project category,grant tier as category,Original research_category retained
KAKEN-based collaboration networks,KAKEN-based collaboration networks,co-authorship network,Formal project co-participation only
career-relevant academic resources,career-relevant academic resources,academic capital,Avoid implying pure merit
promotion timeline,promotion timeline,promotion speed,Elapsed duration between milestones
promotion risk,promotion risk,promotion probability when hazard intended,Annual transition risk
first observed Associate Professor transition,first observed Associate Professor transition,first AP promotion,Use when emphasizing observation
researcher-year,researcher-year,researcher year,Hyphenated unit
event-history analysis,event-history analysis,event history analysis,Hyphenated modifier
event-time panel,event-time panel,event time panel,Hyphenated modifier
time-ordered association,time-ordered association,effect; impact,Non-causal interpretation
post-promotion trajectories,post-promotion trajectories,post promotion outcomes,Hyphenated modifier
cumulative advantage,cumulative advantage,Matthew effect when generic,Theory label
institutional mobility,institutional mobility,job switching; school hopping,Organizational boundary changes
institutional move,institutional move,school change,Canonical institution change
institutional prestige,institutional prestige,university quality,"Status, not quality"
institutional size,institutional size,university quality,"Scale, not quality"
multichannel sequence analysis,multichannel sequence analysis,multi-channel sequence analysis,Method name
right-censoring,right-censoring,right censoring,Hyphenated noun
field-year standardized funding,field-year standardized funding,field adjusted funding,Hyphenated modifier
women and men,women and men,female and male researchers,Use unless sex classification is intended
gender differences,gender differences,gender effect,Avoid causal implication
associated with,associated with,influences; leads to; produces,Use for observational estimates
