case_type,anonymous_researcher_id,from_date,to_date,rank_harmonized,institution_pseudonym,institution_name_variant,country_class
external_promotion,854E7D895202,1996-04-01,2006-07-31,RESEARCHER_OTHER,Institution_A,Name_variant_1,UNKNOWN
external_promotion,854E7D895202,2006-08-01,2011-07-31,UNRESOLVED,Institution_B,Name_variant_1,UNKNOWN
external_promotion,854E7D895202,2012-04-01,2012-11-30,ASSOCIATE_PROFESSOR,Institution_C,Name_variant_1,UNKNOWN
external_promotion,854E7D895202,2012-12-01,2014-09-30,ASSOCIATE_PROFESSOR,Institution_D,Name_variant_1,UNKNOWN
external_promotion,854E7D895202,2014-10-01,2018-09-30,ASSOCIATE_PROFESSOR,Institution_D,Name_variant_2,UNKNOWN
external_promotion,854E7D895202,2018-10-01,,FULL_PROFESSOR,Institution_D,Name_variant_2,UNKNOWN
overseas_experience,1C8BFDB73564,1985-08,1992-03,UNRESOLVED,Institution_A,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,1992-04,1994-08,UNRESOLVED,Institution_B,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,1994-09,1997-03,FULL_PROFESSOR,Institution_C,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,1997-04,2001-03,FULL_PROFESSOR,Institution_D,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2001-01,2024-03,FULL_PROFESSOR,Institution_E,Name_variant_1,DOMESTIC_JPN
overseas_experience,1C8BFDB73564,2003-04,2004-03,LECTURER,Institution_F,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2003-04,2004-03,LECTURER,Institution_G,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2003-06,2004-03,LECTURER,Institution_H,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2004-04,2005-03,FULL_PROFESSOR,Institution_I,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2004-04,2005-03,FULL_PROFESSOR,Institution_J,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2004-04,2005-03,LECTURER,Institution_F,Name_variant_1,UNKNOWN
overseas_experience,1C8BFDB73564,2022-07,9999,FULL_PROFESSOR,Institution_K,Name_variant_1,OVERSEAS
missing_career_history,BA49B70EF83F,,,NOT_OBSERVED,,,No career record in source
internal_promotion,0B7D68BFC316,1987-05,1988-06,UNRESOLVED,Institution_A,Name_variant_1,UNKNOWN
internal_promotion,0B7D68BFC316,1988-07,1995-12,UNRESOLVED,Institution_B,Name_variant_1,UNKNOWN
internal_promotion,0B7D68BFC316,1996-01,2008-03,ASSOCIATE_PROFESSOR,Institution_B,Name_variant_2,UNKNOWN
internal_promotion,0B7D68BFC316,2008-04,9999,FULL_PROFESSOR,Institution_C,Name_variant_1,UNKNOWN
same_year_move_promotion,854E7D895202,1996-04-01,2006-07-31,RESEARCHER_OTHER,Institution_A,Name_variant_1,UNKNOWN
same_year_move_promotion,854E7D895202,2006-08-01,2011-07-31,UNRESOLVED,Institution_B,Name_variant_1,UNKNOWN
same_year_move_promotion,854E7D895202,2012-04-01,2012-11-30,ASSOCIATE_PROFESSOR,Institution_C,Name_variant_1,UNKNOWN
same_year_move_promotion,854E7D895202,2012-12-01,2014-09-30,ASSOCIATE_PROFESSOR,Institution_D,Name_variant_1,UNKNOWN
same_year_move_promotion,854E7D895202,2014-10-01,2018-09-30,ASSOCIATE_PROFESSOR,Institution_D,Name_variant_2,UNKNOWN
same_year_move_promotion,854E7D895202,2018-10-01,,FULL_PROFESSOR,Institution_D,Name_variant_2,UNKNOWN
multiple_moves_no_ap,4D493531E7EA,1998-04,2000-03,UNRESOLVED,Institution_A,Name_variant_1,UNKNOWN
multiple_moves_no_ap,4D493531E7EA,2003-10,2005-07,UNRESOLVED,Institution_B,Name_variant_1,UNKNOWN
multiple_moves_no_ap,4D493531E7EA,2005-07,2006-03,RESEARCHER_OTHER,Institution_C,Name_variant_1,UNKNOWN
multiple_moves_no_ap,4D493531E7EA,2006-04,2007-03,UNRESOLVED,Institution_B,Name_variant_2,UNKNOWN
multiple_moves_no_ap,4D493531E7EA,2007-04,2009-03,UNRESOLVED,Institution_B,Name_variant_2,UNKNOWN
multiple_affiliations,CBDFB902C92D,2002-04,2005-03,LECTURER,Institution_A,Name_variant_1,UNKNOWN
multiple_affiliations,CBDFB902C92D,2005-03,2014-04,ASSOCIATE_PROFESSOR,Institution_A,Name_variant_1,UNKNOWN
multiple_affiliations,CBDFB902C92D,2014-04,2017-03,ASSOCIATE_PROFESSOR,Institution_B,Name_variant_1,UNKNOWN
multiple_affiliations,CBDFB902C92D,2017-04,2023-03,FULL_PROFESSOR,Institution_B,Name_variant_1,UNKNOWN
multiple_affiliations,CBDFB902C92D,2023-04,9999,FULL_PROFESSOR,Institution_B,Name_variant_1,DOMESTIC_JPN
institution_name_change,6DF4D764A519,2021-10,2022-03,ASSISTANT_PROFESSOR,Institution_A,Name_variant_1,UNKNOWN
institution_name_change,6DF4D764A519,2022-04,2023-08,LECTURER,Institution_A,Name_variant_1,UNKNOWN
institution_name_change,6DF4D764A519,2023-08,9999,ASSISTANT_PROFESSOR,Institution_A,Name_variant_2,UNKNOWN
