record_id,authors,year,title,journal_or_source,doi,database_source,peer_reviewed_status,exact_claim_supported,study_relevance,full_text_or_page_checked,zotero_item_key,bibtex_key
acker1990,"Acker, Joan",1990,"Hierarchies, jobs, bodies: A theory of gendered organizations",Gender & Society,10.1177/089124390004002002,SAGE,yes,Gendered organizations and ideal-worker assumptions,Study 2,Publisher page checked,,acker1990
allison_long1987,"Allison, Paul D.; Long, J. Scott",1987,Interuniversity mobility of academic scientists,American Sociological Review,10.2307/2095600,JSTOR,yes,Academic mobility is patterned by productivity and institutional location,Study 2,Metadata and issue page checked,,allison_long1987
bielby_bielby1992,"Bielby, William T.; Bielby, Denise D.",1992,"I will follow him: Family ties, gender-role beliefs, and reluctance to relocate for a better job",American Journal of Sociology,10.1086/229901,Crossref,yes,Household relocation decisions are gendered,Study 2,Metadata checked,,bielby_bielby1992
canibano2016,"Cañibano, Carolina; Fox, Mary Frank; Otamendi, F. Javier",2016,Gender and patterns of temporary mobility among researchers,Science and Public Policy,10.1093/scipol/scv042,Oxford Academic,yes,"Gender differences in timing, frequency, duration, and distance of research mobility",Study 2,Publisher abstract checked,,canibano2016
fernandez_zubieta2016,"Fernández-Zubieta, Ana; Geuna, Aldo; Lawson, Cornelia",2016,Productivity pay-offs from academic mobility: Should I stay or should I go?,Industrial and Corporate Change,10.1093/icc/dtv034,Oxford Academic,yes,Direction of mobility matters more than mobility per se,Study 2,Publisher abstract checked,,fernandez_zubieta2016
gauthier2010,"Gauthier, Jacques-Antoine; Widmer, Eric D.; Bucher, Philipp; Notredame, Cédric",2010,Multichannel sequence analysis applied to social science data,Sociological Methodology,10.1111/j.1467-9531.2010.01227.x,Crossref,yes,Methodological basis for separate sequence channels,Study 2,Metadata checked,,gauthier2010
abbott_tsay2000,"Abbott, Andrew; Tsay, Angela",2000,Sequence analysis and optimal matching methods in sociology: Review and prospect,Sociological Methods & Research,10.1177/0049124100029001001,SAGE,yes,Optimal Matching and sociological sequence analysis,Study 2,Metadata checked,,abbott_tsay2000
clauset2015,"Clauset, Aaron; Arbesman, Samuel; Larremore, Daniel B.",2015,Systematic inequality and hierarchy in faculty hiring networks,Science Advances,10.1126/sciadv.1400005,Science,yes,Faculty hiring markets are prestige-hierarchical,Study 2/3,Publisher page checked,,clauset2015
wapman2022,"Wapman, K. Hunter; Zhang, Sam; Clauset, Aaron; Larremore, Daniel B.",2022,Quantifying hierarchy and dynamics in US faculty hiring and retention,Nature,10.1038/s41586-022-05222-x,Nature,yes,Institutional hierarchy and retention dynamics,Study 2,Publisher metadata checked,,wapman2022
bol2018,"Bol, Thijs; de Vaan, Mathijs; van de Rijt, Arnout",2018,The Matthew effect in science funding,Proceedings of the National Academy of Sciences,10.1073/pnas.1719557115,PNAS/Crossref,yes,Early funding success is associated with later funding accumulation,Study 3,Publisher/news metadata checked,,bol2018
wang2019,"Wang, Yang; Jones, Benjamin F.; Wang, Dashun",2019,Early-career setback and future career impact,Nature Communications,10.1038/s41467-019-12189-3,Nature,yes,Near-miss funding outcomes relate to later participation and impact,Study 3,Full publisher page checked,,wang2019
li2019,"Li, Wei; Aste, Tomaso; Caccioli, Fabio; Livan, Giacomo",2019,Early coauthorship with top scientists predicts success in academic careers,Nature Communications,10.1038/s41467-019-13130-4,Nature,yes,Early relational position predicts later career outcomes in another network context,Study 3,Full publisher page checked,,li2019
diprete_eirich2006,"DiPrete, Thomas A.; Eirich, Gregory M.",2006,Cumulative advantage as a mechanism for inequality,Annual Review of Sociology,10.1146/annurev.soc.32.061604.123127,Crossref,yes,Cumulative-advantage theory,Study 3,Metadata checked,,diprete_eirich2006
merton1968,"Merton, Robert K.",1968,The Matthew effect in science,Science,10.1126/science.159.3810.56,Crossref,yes,Foundational cumulative-advantage account,Study 3,Metadata checked,,merton1968
nielsen2016,"Nielsen, Mathias W.",2016,Limits to meritocracy? Gender in academic recruitment and promotion processes,Science and Public Policy,10.1093/scipol/scv052,Zotero/Crossref,yes,Gendered evaluation persists in formalized procedures,Shared theory,Metadata and Zotero duplicate checked,GVFNLQ7L,nielsen2016
pei2026,"Pei, Rongkang; Lyu, Zeyu; Wang, Guolong; Wang, Zhichao; Ye, Maoxin; Fan, Xiaoguang",2026,Gender inequality in academic promotion trajectories in Japan,Scientific Reports,10.1038/s41598-026-54562-5,Nature,yes,Official Study 1 sample and findings,Study 1,Publisher page checked,,pei2026
takahashi2015,"Takahashi, Ana Maria; Takahashi, Shingo",2015,Gender promotion differences in economics departments in Japan: A duration analysis,Journal of Asian Economics,10.1016/j.asieco.2015.09.002,Zotero/Crossref,yes,Japanese promotion duration evidence,Study 1/context,Metadata checked,DU64M49W,takahashi2015
nagano2022,"Nagano, Natsuko; Watari, Takashi; Tamaki, Yukihisa; Onigata, Kazumichi",2022,Japan's academic barriers to gender equality as seen in a comparison of public and private medical schools,Women's Health Reports,10.1089/whr.2021.0082,Zotero/Crossref,yes,Gendered rank inequality in Japanese medical academia,Context,Metadata checked,6FZ8VN3X,nagano2022
watanabe2025,"Watanabe, Megumi",2025,Gender inequality in international research engagement amid transformation to global and neoliberal academia: The case of Japan,"Gender, Work & Organization",10.1111/gwao.13224,Zotero/Crossref,yes,Gendered international engagement in Japan,Context/Study 2,Metadata checked,GNUIKBTM,watanabe2025
huang2020,"Huang, Junming; Gates, Alexander J.; Sinatra, Roberta; Barabási, Albert-László",2020,Historical comparison of gender inequality in scientific careers across countries and disciplines,PNAS,10.1073/pnas.1914221117,Zotero/Crossref,yes,Cross-national longitudinal career inequality,Context,Metadata checked,PHUXQUAJ,huang2020
lawson_shibayama2015,"Lawson, Cornelia; Shibayama, Sotaro",2015,International research visits and careers: An analysis of bioscience academics in Japan,Science and Public Policy,10.1093/scipol/scu084,Crossref,yes,International mobility in Japanese academic careers,Study 2,Metadata checked,,lawson_shibayama2015
moher2018,"Moher, David et al.",2018,"Assessing scientists for hiring, promotion, and tenure",PLOS Biology,10.1371/journal.pbio.2004089,Crossref,yes,Limits of narrow evaluation metrics,Shared theory,Metadata checked,,moher2018
schimanski2018,"Schimanski, Lesley A.; Alperin, Juan Pablo",2018,The evaluation of scholarship in academic promotion and tenure processes,F1000Research,10.12688/f1000research.16493.1,Crossref,yes,Promotion evaluation practices,Shared theory,Metadata checked,,schimanski2018
sato2021,"Sato, Sayaka; Gygax, Pascal M.; Randall, Julian; Schmid Mast, Marianne",2021,The leaky pipeline in research grant peer review and funding decisions,Higher Education,10.1007/s10734-020-00626-y,PMC/Springer,yes,Mixed evidence on gender in grant review,Study 3,Full text checked,,sato2021
jst2026,Japan Science and Technology Agency,2026,About the researchmap project,Official website,,researchmap/JST,official,researchmap governance and scope,Data,Official page checked,CZ4DWNVN,jst2026
jsps2026a,Japan Society for the Promotion of Science,2026,KAKENHI: Types of grants programs,Official website,,JSPS,official,KAKEN category purposes and funding ranges,Study 3,Official page checked,,jsps2026a
jsps2026b,Japan Society for the Promotion of Science,2026,KAKENHI award trends,Official website,,JSPS,official,KAKEN application and award context,Study 3,Official page checked,,jsps2026b
statistics_japan2025,Statistics Bureau of Japan,2025,Statistical handbook of Japan 2025,Official statistics,,Statistics Bureau,official,Women represented 18.5% of researchers in 2024,Context,Official PDF/page checked,,statistics_japan2025
