analytical_domain,source_table,source_fields,descriptive_meaning,how_it_supports_analysis,main_limitation
Researcher identity,jp_researchers,user_id; created; modified,"Identifies the same researcher across profile, career and project records","Forms the researcher spine for both studies","No native linkage-quality score across all sources"
Gender,jp_researchers_extra,user_id; gender,"Records M/F/unknown in the current supplement","Supports gender-stratified descriptions and gender interactions","No gender_source or provenance field; missing values must remain unknown"
Doctoral starting point,v_jp_researchers_degree_of_doctor_detail,researcher_user_id; degree_date; degreeType; degree_institute,"Locates the doctoral milestone and doctoral institution","Defines career year and entry into the post-PhD risk set","Degree-date semantics and multiple-doctorate selection require validation"
Field and discipline,v_jp_researchers_degree_of_doctor_detail; jp_researchers_research_areas,discipline; discipline_number; discipline_ja; discipline_en; research_field_ja; research_field_en,"Describes doctoral field and later research areas","Controls field differences and compares project roles within comparable fields","Multiple fields require a documented harmonization rule"
Career interval,jp_researchers_research_experience,rm_id; from_date; to_date; created; modified,"Describes when a career or research-experience record begins and ends","Creates annual career states and orders organizational transitions","Mixed date precision; blank and 9999 end dates need explicit rules"
Raw organization,jp_researchers_research_experience,rm_institution_code; affiliation_ja; affiliation_en; section_ja; section_en,"Describes institution and organizational unit recorded for each career spell","Identifies changes between organizations and within-organization unit changes","Unknown codes and unit-level variation can create false moves"
Standardized organization,jp_researchers_institute_property,original_institute; college; id,"Maps some raw affiliation strings to a standardized institution name","Supports canonical institution states and move counting","id is a property-row identifier rather than a verified stable historical institution ID"
Organization context,jp_researchers_institute_property,college_country; admin1; admin2; operation_type; college_type,"Describes country, administrative location and organizational operation/type where populated","Characterizes origin and destination institutions and contextualizes mobility","college_type is currently entirely empty; other properties are not complete for every row"
Raw job and rank,jp_researchers_research_experience,job_ja; job_en; affiliation_ja; affiliation_en,"Contains Japanese and English position titles, sometimes embedded in affiliation text","Derives annual rank and first AP/FP years","Many job fields are blank and historical titles require manual validation"
Current profile affiliation,jp_researchers_affiliations,affiliation_ja; affiliation_en; section_ja; section_en; job_ja; job_en; rm_institution_code,"Describes the current displayed affiliation and position","Can validate the final observed career state","Has no career start/end dates and cannot replace the career history"
Project identity,v_jp_researchers_kaken_project,kaken_id; project_period_start; project_period_end; project_status,"Defines each KAKEN project and its active period","Creates project-year observations and determines when a role is active","Some project periods extend beyond the current observation date and must be censored"
Project context,v_jp_researchers_kaken_project,research_category; allocation_type; research_field; research_institution,"Describes scheme, allocation, field and host institution","Separates role transitions by project type, field and resource context","research_field has substantial missingness and institution is a project-level string"
Project-member linkage,v_jp_researchers_kaken_project_member,kaken_id; kaken_researcher_id; user_id; researcher_name,"Connects a project member to KAKEN and, where available, to a researchmap researcher","Links project roles to career trajectories through user_id","300127 of 824619 member rows lack researchmap user_id; unmatched members must remain in team denominators"
Project role,v_jp_researchers_kaken_project_member,role; role_detail; person_order,"Distinguishes PI, Co-I, research collaborator and other formal roles","Defines participant-to-organizer transitions and role-specific networks","Role is project-specific; member-level role dates are absent; person_order is display order and not an authority measure"
Project budget,v_jp_researchers_kaken_project_annual_budget,kaken_id; budget_year; total_budget; direct_budget,"Records annual project resources","Measures full exposure and fractional exposure before role or rank transitions","Project budget is not the amount personally controlled by each member"
Project text,v_jp_researchers_kaken_project,keywords; abstracts; primary_investigator,"Provides topical and descriptive context for projects","Supports topic/field checks and PI validation","Free text is not a standardized individual-level measure"
Collaboration network,derived from project-member-year,kaken_id; user_id; role; budget_year,"Connects researchers who share a project-year and directs PI-to-Co-I ties","Produces degree, repeated collaboration, PI outdegree and PI indegree","Captures KAKEN project relations only, not authorship, mentoring or informal collaboration"
Academic status transition,derived from career records,researcher_id; fiscal_year; rank_standardized; first_AP_year; first_FP_year,"Represents movement into AP or FP rank","Tests whether similar observed careers and resources correspond to similar promotion probabilities by gender","Observed similarity does not include family constraints, workload, productivity quality or all employment conditions"
Project-position transition,derived from project-member-year,researcher_id; fiscal_year; role_harmonized; first_PI_year; prior_CoI_years,"Represents movement from participant roles to first PI role","Directly examines who becomes a project organizer and when","Researchers can be PI and Co-I in different projects in the same year; transition is not a permanent personal status"
