bibtex_key,text_marker,cited_in_text,doi,claim_supported
acker1990,"Acker, 1990",True,10.1177/089124390004002002,Gendered organizations and ideal-worker assumptions
allison_long1987,"Allison, 1987",True,10.2307/2095600,Academic mobility is patterned by productivity and institutional location
bielby_bielby1992,"Bielby, 1992",True,10.1086/229901,Household relocation decisions are gendered
canibano2016,"Cañibano, 2016",True,10.1093/scipol/scv042,"Gender differences in timing, frequency, duration, and distance of research mobility"
fernandez_zubieta2016,"Fernández-Zubieta, 2016",True,10.1093/icc/dtv034,Direction of mobility matters more than mobility per se
gauthier2010,"Gauthier, 2010",True,10.1111/j.1467-9531.2010.01227.x,Methodological basis for separate sequence channels
abbott_tsay2000,"Abbott, 2000",True,10.1177/0049124100029001001,Optimal Matching and sociological sequence analysis
clauset2015,"Clauset, 2015",True,10.1126/sciadv.1400005,Faculty hiring markets are prestige-hierarchical
wapman2022,"Wapman, 2022",True,10.1038/s41586-022-05222-x,Institutional hierarchy and retention dynamics
bol2018,"Bol, 2018",True,10.1073/pnas.1719557115,Early funding success is associated with later funding accumulation
wang2019,"Wang, 2019",True,10.1038/s41467-019-12189-3,Near-miss funding outcomes relate to later participation and impact
li2019,"Li, 2019",True,10.1038/s41467-019-13130-4,Early relational position predicts later career outcomes in another network context
diprete_eirich2006,"DiPrete, 2006",True,10.1146/annurev.soc.32.061604.123127,Cumulative-advantage theory
merton1968,"Merton, 1968",True,10.1126/science.159.3810.56,Foundational cumulative-advantage account
nielsen2016,"Nielsen, 2016",True,10.1093/scipol/scv052,Gendered evaluation persists in formalized procedures
pei2026,"Pei, 2026",True,10.1038/s41598-026-54562-5,Official Study 1 sample and findings
takahashi2015,"Takahashi, 2015",True,10.1016/j.asieco.2015.09.002,Japanese promotion duration evidence
nagano2022,"Nagano, 2022",True,10.1089/whr.2021.0082,Gendered rank inequality in Japanese medical academia
watanabe2025,"Watanabe, 2025",True,10.1111/gwao.13224,Gendered international engagement in Japan
huang2020,"Huang, 2020",True,10.1073/pnas.1914221117,Cross-national longitudinal career inequality
lawson_shibayama2015,"Lawson, 2015",True,10.1093/scipol/scu084,International mobility in Japanese academic careers
moher2018,"Moher, 2018",True,10.1371/journal.pbio.2004089,Limits of narrow evaluation metrics
schimanski2018,"Schimanski, 2018",True,10.12688/f1000research.16493.1,Promotion evaluation practices
sato2021,"Sato, 2021",True,10.1007/s10734-020-00626-y,Mixed evidence on gender in grant review
jst2026,"JST, 2026",True,,researchmap governance and scope
jsps2026a,"JSPS, 2026",True,,KAKEN category purposes and funding ranges
jsps2026b,"JSPS, 2026",True,,KAKEN application and award context
statistics_japan2025,"Statistics Bureau of Japan, 2025",True,,Women represented 18.5% of researchers in 2024
