data_segment,current_available_data,observed_problem,missing_data,reconfirmation_required,supplement_required,impact_on_study2,proposed_action,priority
Researcher identity,"jp_researchers.user_id; child-table researcher_user_id","Identifier exists but no explicit linkage-quality field across every source","linkage confidence; duplicate-person resolution","Confirm user_id stability across snapshots and whether merged profiles retain IDs","researcher linkage audit and cross-snapshot ID history","Incorrect joins can duplicate or split careers","Use user_id as key; audit duplicates and unmatched child records",HIGH
Gender,"M/F/NULL in jp_researchers_extra; 72,475 of 78,208 valid-PhD researchers have M/F","5,733 valid-PhD researchers lack M/F; no provenance","gender_source; coding date; nonbinary/unknown distinction","Confirm how gender was generated and whether NULL means unknown or unavailable","provenance table or documented gender-generation rule","Primary gender comparison loses 7.33% and may be selectively missing","Report exclusions; compare missingness by field/cohort; never infer from names",HIGH
Doctoral year,"78,208 researchers in doctor-detail view with year 1900-2026","View supplies one usable year but award/completion semantics are not documented in output","degree-date precision flag; validation source; multiple-doctorate decision","Confirm degree_date is award/completion year and view selection rule for multiple doctorates","degree title audit; raw-degree-to-view reconciliation","Risk-set entry can shift by one or select wrong doctorate","Validate a stratified sample and document PhD-year definition",CRITICAL
Doctoral discipline,"discipline available for 77,919 of 78,208 valid-PhD researchers","289 missing; values may combine several fields and are not yet harmonized","single analytical discipline; harmonization confidence","Confirm whether doctoral discipline or current research field is primary control","field crosswalk and multi-field rule","Field adjustment and stratified models may be inconsistent","Create stable harmonized discipline plus raw-value audit",HIGH
Career-history coverage,"63,227 valid-PhD researchers have career rows; 61,735 have a dated row","14,981 have no career row; 1,492 have records but no valid start year","observation-start/end metadata; reason for absent history","Confirm whether no row means profile omission, API coverage gap, or no employment record","career coverage indicators and profile-update history","Cannot construct mobility or censoring reliably for uncovered careers","Define minimum coverage; retain separate NO_RECORD and UNDATED_RECORD states",CRITICAL
Career dates,"from_date/to_date strings at year, month, or day precision","4.09% start dates and 12.16% end dates empty in PhD rows; mixed precision; 9999 sentinel","date-precision field; verified meaning of empty and 9999","Confirm 9999 means current and whether end dates are inclusive","parsed year/month/day and precision flags","Move ordering and overlap can be misclassified","Use interval logic by available precision; mark same-year order ambiguity",CRITICAL
Career-record type,"Research-experience rows contain affiliation, section and job text","Rows mix formal appointments, visiting roles, research roles and possibly other experiences","structured appointment type","Confirm scope of research_experience source and included record types","appointment-type dictionary or manual-labelled training sample","Move count may count visits or secondary roles as job moves","Classify record types; primary analysis excludes low-confidence nonappointments",CRITICAL
Primary affiliation,"Concurrent records can be observed","No primary_affiliation_flag","primary/secondary indicator; appointment workload","Confirm whether source API has hidden ordering or display priority","official primary-affiliation field or documented deterministic hierarchy","Cannot directly define one institution per researcher-year","Build transparent hierarchy and AMBIGUOUS_PRIMARY_AFFILIATION flag",CRITICAL
Employment status,"Job and affiliation free text","No full_time_flag; no structured part-time/visiting/guest status","full-time/part-time; visiting; adjunct; guest; concurrent percentage","Confirm whether these values exist in raw JSON or upstream API","employment-status extraction or labelled title dictionary","Parallel records cannot be interpreted as simultaneous full-time jobs","Use conservative text flags only; run sensitivity excluding uncertain roles",HIGH
Institution code,"rm_institution_code on every row","35.97% of PhD career rows use unknown code 9999999999","valid stable institution ID for unknown-code rows","Confirm code hierarchy and whether codes denote university, department or facility","official institution master and code crosswalk","Unknown IDs inflate or hide move counts","Treat 9999999999 as missing; combine code and validated name crosswalk",CRITICAL
