GNL3IISW   journalArticle 2025 A symbolic violence approach to gender inequality in academia | Afua Owusu‐Kwarteng, Cynthia Forson, Olufunmilola (Lola) Dada, Sarah Jack
YV389AZG   journalArticle 2025 AGE: Age-Gender Effect on Faculty Career Progression in American Universities | Hoda Rahmani, Anthony J. Olejniczak, Gary R. Weckman
CZ4DWNVN   encyclopediaArticle 2017 About researchmap | JST
LZXVVIMY   journalArticle 2026 Attributing digital election advertising to races and candidates: a multimodal approach to measuring outside group influence | Markus Neumann, Jielu Yao, Michael M. Franz, Travis N. Ridout, Erika Franklin Fowler
LXDEEZ66   journalArticle 2024 Automatic gender detection: a methodological procedure and recommendations to computationally infer the gender from names with ChatGPT and gender APIs | Manuel Goyanes, Luis de-Marcos, Adrián Domínguez-Díaz
JQ5RU8A2   journalArticle 2026 Belief in Instrumental Extremism and Social Media Incivility: The Mediating Role of Political Discussion with Strong and Weak Ties, and Cross-Cutting Discussion | Manuel Goyanes, Jeffry Oktavianus, Beatriz Jordá
XGG56L8I   journalArticle 2026 Beyond partisan leaning: a comparative analysis of political bias in large language models | Tai-Quan Peng, Kaiqi Yang, Sanguk Lee, Hang Li, Yucheng Chu, Yuping Lin, Hui Liu
YZ8F9EVD   conferencePaper 2024 Calibrating the Confidence of Large Language Models by Eliciting Fidelity | Mozhi Zhang, Mianqiu Huang, Rundong Shi, Linsen Guo, Chong Peng, Peng Yan, Yaqian Zhou, Xipeng Qiu
JM4RAWLV   journalArticle 2024 Can affirmative action overcome STEM gender inequality in Japan? Expectations and concerns | Hiromi M. Yokoyama, Yuko Ikkatai, Euan McKay, Atsushi Inoue, Azusa Minamizaki, Kei Kano
XEKY49GN   journalArticle 2024 Comparative analysis of automatic gender detection from names: evaluating the stability and performance of ChatGPT versus Namsor, and Gender-API | Adrián Domínguez-Díaz, Manuel Goyanes, Luis de-Marcos, Víctor Pablo Prado-Sánchez
H5YTN7BB   journalArticle 2018 Comparison and benchmark of name-to-gender inference services | Lucía Santamaría, Helena Mihaljević
HMXQAAGC   journalArticle 2025 Confidence culture in neoliberal academia: the case of #Womeninacademia on Twitter | Aysegul Can, Canan Neşe Kınıkoğlu
AEKC6CPF   attachment          Cross-cutting and Like-minded Discussion on Social Media- The Moderating Role of Issue Importance in the (De)mobilizing Effect of Political Discussion on Political Participation | 
JBEI6FUH   journalArticle 2020 DNA surface exploration and operator bypassing during target search | Emil Marklund, Brad van Oosten, Guanzhong Mao, Elias Amselem, Kalle Kipper, Anton Sabantsev, Andrew Emmerich, Daniel Globisch, Xuan Zheng, Laura C. Lehmann, Otto G. Berg, Magnus Johansson, Johan Elf, Sebastian Deindl
LDGETQ6Z   journalArticle 2011 Differences Between Tight and Loose Cultures: A 33-Nation Study | Michele J. Gelfand, Jana L. Raver, Lisa Nishii, Lisa M. Leslie, Janetta Lun, Beng Chong Lim, Lili Duan, Assaf Almaliach, Soon Ang, Jakobina Arnadottir, Zeynep Aycan, Klaus Boehnke, Pawel Boski, Rosa Cabecinhas, Darius Chan, Jagdeep Chhokar, Alessia D’Amato, Montserrat Subirats Ferrer, Iris C. Fischlmayr, Ronald Fischer, Marta Fülöp, James Georgas, Emiko S. Kashima, Yoshishima Kashima, Kibum Kim, Alain Lempereur, Patricia Marquez, Rozhan Othman, Bert Overlaet, Penny Panagiotopoulou, Karl Peltzer, Lorena R. Perez-Florizno, Larisa Ponomarenko, Anu Realo, Vidar Schei, Manfred Schmitt, Peter B. Smith, Nazar Soomro, Erna Szabo, Nalinee Taveesin, Midori Toyama, Evert Van de Vliert, Naharika Vohra, Colleen Ward, Susumu Yamaguchi
MFWWFFLV   journalArticle 2026 Disagreement driven disengagement? Policymaker perceptions of citizen identity and responsiveness to political communication | Kaylyn Jackson Schiff
3QG88BIR   report         2025 Education at a Glance 2025: Japan | Organisation for Economic Co-operation and Development
