citation,verified,doi,used_in_text,in_reference_list,notes
"Acker, Joan (1990)",yes,10.1177/089124390004002002,yes,yes,Gendered organizations and ideal-worker assumptions
"Allison, Paul D.; Long, J. Scott (1987)",yes,10.2307/2095600,yes,yes,Academic mobility is patterned by productivity and institutional location
"Bielby, William T.; Bielby, Denise D. (1992)",yes,10.1086/229901,yes,yes,Household relocation decisions are gendered
"Cañibano, Carolina; Fox, Mary Frank; Otamendi, F. Javier (2016)",yes,10.1093/scipol/scv042,no,yes,"Gender differences in timing, frequency, duration, and distance of research mobility; retained as verified framework bibliography but not yet cited in chapter prose"
"Fernández-Zubieta, Ana; Geuna, Aldo; Lawson, Cornelia (2016)",yes,10.1093/icc/dtv034,no,yes,Direction of mobility matters more than mobility per se; retained as verified framework bibliography but not yet cited in chapter prose
"Gauthier, Jacques-Antoine; Widmer, Eric D.; Bucher, Philipp; Notredame, Cédric (2010)",yes,10.1111/j.1467-9531.2010.01227.x,yes,yes,Methodological basis for separate sequence channels
"Abbott, Andrew; Tsay, Angela (2000)",yes,10.1177/0049124100029001001,yes,yes,Optimal Matching and sociological sequence analysis
"Clauset, Aaron; Arbesman, Samuel; Larremore, Daniel B. (2015)",yes,10.1126/sciadv.1400005,no,yes,Faculty hiring markets are prestige-hierarchical; retained as verified framework bibliography but not yet cited in chapter prose
"Wapman, K. Hunter; Zhang, Sam; Clauset, Aaron; Larremore, Daniel B. (2022)",yes,10.1038/s41586-022-05222-x,no,yes,Institutional hierarchy and retention dynamics; retained as verified framework bibliography but not yet cited in chapter prose
"Bol, Thijs; de Vaan, Mathijs; van de Rijt, Arnout (2018)",yes,10.1073/pnas.1719557115,yes,yes,Early funding success is associated with later funding accumulation
"Wang, Yang; Jones, Benjamin F.; Wang, Dashun (2019)",yes,10.1038/s41467-019-12189-3,no,yes,Near-miss funding outcomes relate to later participation and impact; retained as verified framework bibliography but not yet cited in chapter prose
"Li, Wei; Aste, Tomaso; Caccioli, Fabio; Livan, Giacomo (2019)",yes,10.1038/s41467-019-13130-4,no,yes,Early relational position predicts later career outcomes in another network context; retained as verified framework bibliography but not yet cited in chapter prose
"DiPrete, Thomas A.; Eirich, Gregory M. (2006)",yes,10.1146/annurev.soc.32.061604.123127,yes,yes,Cumulative-advantage theory
"Merton, Robert K. (1968)",yes,10.1126/science.159.3810.56,yes,yes,Foundational cumulative-advantage account
"Nielsen, Mathias W. (2016)",yes,10.1093/scipol/scv052,no,yes,Gendered evaluation persists in formalized procedures; retained as verified framework bibliography but not yet cited in chapter prose
"Pei, Rongkang; Lyu, Zeyu; Wang, Guolong; Wang, Zhichao; Ye, Maoxin; Fan, Xiaoguang (2026)",yes,10.1038/s41598-026-54562-5,yes,yes,Official Study 1 sample and findings
"Takahashi, Ana Maria; Takahashi, Shingo (2015)",yes,10.1016/j.asieco.2015.09.002,no,yes,Japanese promotion duration evidence; retained as verified framework bibliography but not yet cited in chapter prose
"Nagano, Natsuko; Watari, Takashi; Tamaki, Yukihisa; Onigata, Kazumichi (2022)",yes,10.1089/whr.2021.0082,no,yes,Gendered rank inequality in Japanese medical academia; retained as verified framework bibliography but not yet cited in chapter prose
"Watanabe, Megumi (2025)",yes,10.1111/gwao.13224,no,yes,Gendered international engagement in Japan; retained as verified framework bibliography but not yet cited in chapter prose
"Huang, Junming; Gates, Alexander J.; Sinatra, Roberta; Barabási, Albert-László (2020)",yes,10.1073/pnas.1914221117,no,yes,Cross-national longitudinal career inequality; retained as verified framework bibliography but not yet cited in chapter prose
"Lawson, Cornelia; Shibayama, Sotaro (2015)",yes,10.1093/scipol/scu084,no,yes,International mobility in Japanese academic careers; retained as verified framework bibliography but not yet cited in chapter prose
"Moher, David et al. (2018)",yes,10.1371/journal.pbio.2004089,no,yes,Limits of narrow evaluation metrics; retained as verified framework bibliography but not yet cited in chapter prose
"Schimanski, Lesley A.; Alperin, Juan Pablo (2018)",yes,10.12688/f1000research.16493.1,no,yes,Promotion evaluation practices; retained as verified framework bibliography but not yet cited in chapter prose
"Sato, Sayaka; Gygax, Pascal M.; Randall, Julian; Schmid Mast, Marianne (2021)",yes,10.1007/s10734-020-00626-y,no,yes,Mixed evidence on gender in grant review; retained as verified framework bibliography but not yet cited in chapter prose
Japan Science and Technology Agency (2026),yes,,yes,yes,researchmap governance and scope
Japan Society for the Promotion of Science (2026),yes,,no,yes,KAKEN category purposes and funding ranges; retained as verified framework bibliography but not yet cited in chapter prose
Japan Society for the Promotion of Science (2026),yes,,no,yes,KAKEN application and award context; retained as verified framework bibliography but not yet cited in chapter prose
Statistics Bureau of Japan (2025),yes,,no,yes,Women represented 18.5% of researchers in 2024; retained as verified framework bibliography but not yet cited in chapter prose
