preferred_term,usage_rule,definition
researchmap,lowercase except at sentence start,Researcher database
KAKEN,uppercase,Funding system
Associate Professor,title case; AP after definition,Academic rank
Full Professor,title case; FP after definition,Academic rank
PI,PI,Project-specific Principal Investigator role
Co-I,hyphenated,Project-specific Co-Investigator role
institutional mobility,preferred broad term,Changes between institutions
institutional move,countable event,Change in canonical primary institution
promotion timeline,preferred general term; do not use promotion timing,Elapsed interval between validated promotion milestones
promotion risk,event-history interpretation only,Conditional probability/hazard
researcher-year,hyphenated,Panel unit
event-history analysis,hyphenated,Risk-set model family
multichannel sequence analysis,full term,Secondary pathway analysis
KAKEN-related academic resources,hyphenated,"Access, leadership, funding, and network position"
project-based collaboration networks,hyphenated,Networks derived from shared KAKEN projects
career stage,two words,PhD-to-AP or AP-to-FP
right-censoring,hyphenated,Event not observed by endpoint
time-ordered association,hyphenated,Predictor precedes outcome year
